,Run No,Loss,Reg. Loss,Repeat,TS47,TS49,TS16,TS12,Cl*,H*,CH3CH2*,CH2CH2*,ClCH2CH2*,ClCH2CH2Cl*
54,55,99.99999940535926,0.0,0,-3.3715297043255035,2.376331185280563,31.08757579523595,27.9794291073504,-16.314355145271744,-26.139478267063602,24.14574619194282,34.05900100215878,-5.9393100515872135,20.156572145193714
55,56,78.69732333934635,0.0,0,-30.616047893673276,-7.4333104150517215,-37.91534875359998,6.810190494311527,30.611048603382542,39.77900325559612,23.558291643411486,-28.3681495689207,-39.543845224561906,19.987078098384487
56,57,99.99918617500968,0.0,0,14.659833221951395,21.420587534325115,14.207312632130723,9.589685051158042,8.994877563629366,37.71389848344525,38.167398727015666,30.951532467464688,32.558259308907026,-10.79682684952219
57,58,99.4826360893304,0.0,0,-8.226824596506333,38.31944812331122,8.382520603902094,39.0620805148899,-29.25420822797816,0.08430580098747953,-24.855061498864785,-5.741965743895825,39.185689729939725,38.18698395681815
58,59,99.9989995138479,0.0,0,30.112382214796142,39.77915956624811,37.081599799311945,2.025964634135647,-18.34493490362176,17.3527369587023,0.016590031830602925,-4.178892961380043,12.698662988849208,33.16553755009865
59,60,99.85284077435104,0.0,0,-28.44800068457463,-0.7623598902001447,6.4460140048201,-34.79254108425082,-15.916949735278475,20.197089040466416,17.377522079346605,26.775767548362467,6.971376990380421,-14.96114907882134
60,61,99.99999875433984,0.0,0,1.6173163752744628,-30.042844516589938,-22.608770997312867,-28.691916695188095,34.98135097060889,2.2805521178533326,-25.202434790155806,-13.529380386289166,24.92440522715394,-36.90960080585982
61,62,99.99999999986296,0.0,0,34.22629285865172,9.474302759669015,18.0661273961921,-12.304273717024998,31.92336454264246,-23.46301835206259,8.13469839948047,-26.951277507303832,11.91490537900971,-2.489160708289681
62,63,99.49933213037778,0.0,0,-30.27390207876185,19.253282845500443,-0.45192330151785143,-15.907319075805685,26.776999549690487,7.866847515479677,-14.465891359004015,35.99936542343637,-18.006246619922592,35.04114613501537
63,64,99.99998613467835,0.0,0,25.82137348249931,-35.789176759096954,18.917876816624357,-30.876203723149366,16.942406594412475,-3.8494547133251587,-34.309716264556855,10.119029886125553,21.610863531730345,22.273162747051956
64,65,99.99999999999989,0.0,0,36.46049117094806,11.105549087226578,12.580257307468855,-35.10151557295878,7.557772967371022,-35.75065595368328,20.186053577407236,38.89349374404661,11.27399318622033,34.01766191841274
65,66,99.99994757882382,0.0,0,5.322115319738984,37.61819928641624,-4.247013017091632,-10.69934434305766,29.8892373598664,27.511320356027056,11.793490780475565,-25.821541507198617,19.793726309212957,1.5365688627183332
66,67,99.99985953869233,0.0,0,15.338677952543442,-2.366718945425646,38.33070749536205,33.24220283199894,-37.58001861642157,31.652277129758957,8.904799881887733,36.64080313538881,-17.69194001747516,-37.720096655991625
67,68,99.99600930079387,0.0,0,15.199408202835933,4.808550384435229,13.145046677802092,16.917544994188212,18.276410936622682,25.18664499705686,3.2957784947618762,2.2929499596717307,-30.12837246537383,20.755416841342495
68,69,99.99999866599146,0.0,0,-23.616226271575297,-20.456204271653768,38.852096867029104,-8.121052449754742,-18.4703048641502,-34.706810290463594,-30.3784362911705,15.809422121886755,22.50391667732177,-6.601084325632193
69,70,99.99892231848482,0.0,0,21.635275458228605,-8.409911063025074,4.0029275877311505,18.40394919014357,1.5455316582005807,16.74402670835049,-19.39239360637053,-12.554715515382291,-3.402062766326978,37.122843960666444
70,71,99.99999902358233,0.0,0,23.18210490141528,-13.956773868521104,5.1989939970913355,-35.857092095999,-32.69587396056858,-9.59436308232302,-13.771037955026138,-22.898055407443813,23.58462901697382,-20.991179501098994
71,72,99.99999690996194,0.0,0,18.911331252338755,-17.790441545733543,14.828216817897484,36.98811956991287,15.490257018197951,-11.822353157193355,-12.499750272329926,17.240632590378468,-4.044347564357004,-8.057857434961846
72,73,99.98923186146796,0.0,0,23.4500484273222,34.64761585389019,-5.428785012212693,29.414152356692213,-27.522814907192355,12.770309920654583,-26.118593204738936,-2.530783578313347,-13.25521337693317,8.459694412923895
73,74,99.99999999999892,0.0,0,32.391152157343996,24.643800770309397,8.429829628500592,-13.379565130325211,5.779494903529738,-33.702469658369964,31.4556739023473,27.10393015868644,-20.031917394277738,15.553872757723724
74,75,99.99917106788689,0.0,0,-35.86934203929116,37.14796430930734,-39.99995425007306,-0.8491862442918645,14.110880041913049,-28.458040822921042,34.01503354059429,-2.9889524910753735,38.52771909482985,24.660332502670286
75,76,99.99999998427727,0.0,0,16.207213024637767,-12.593324486831385,-25.13584192819214,-28.213716048563207,-8.545477549657608,-21.70727983634308,-2.8456008115338562,-18.272018864768928,-22.34177670753664,-25.545828838771133
76,77,99.99999999999963,0.0,0,35.106744950530626,34.36352321292003,-37.144289461099696,39.894684383077404,5.478338453572931,-34.35700234835756,25.247589334869204,28.196969618959315,-12.639253630412863,12.835852279570986
77,78,89.956882897251,0.0,0,-39.43232219423868,-1.736262025521853,10.69765436854781,-2.9092424986621737,33.08934441775773,-1.0904761183367526,-18.0966886958092,20.455526607218275,-35.72364123299323,21.92034374205201
78,79,99.88877905488573,0.0,0,-17.864516789807325,35.98781520483996,7.951435145281906,-12.4877881772493,-30.603898590952028,-5.180802974380455,31.814401029928717,30.48823763273893,-26.982395952474427,26.700435922929117
79,80,99.99999999954191,0.0,0,25.472826503373128,-12.090041341310158,-31.147601262075632,-33.26840764017993,38.62840350477482,-23.154663230892965,-2.7562468343225603,-7.756467530322482,-36.89967515874554,2.568666373939891
80,81,99.9999999992224,0.0,0,16.610740750356726,-39.71187020262314,-8.267889225389968,6.093507477041641,28.956367484600577,-28.928879643426274,33.76317999561894,-6.3418137558935115,-24.195543408681147,29.216629693579662
81,82,94.45974636599979,0.0,0,-15.141299407694284,20.2529319498666,19.77684044425071,30.65902119432657,7.091759079302456,22.471397933191,-4.0902359466655795,17.684251271367515,-3.79331745609295,25.83771634143467
82,83,99.99999840830372,0.0,0,6.304320982522299,-35.189515605248914,-1.971632639811844,-23.17331000094426,0.9816236224236619,-19.187029469874215,-10.420465484687913,-25.38157167834282,0.4209251785749899,-30.83784307251654
83,84,98.3895516892283,0.0,0,-5.656139618572318,13.172223927699946,12.241722737467555,39.54627440560253,19.978950367181582,21.297952255504754,-5.086150447597227,-22.033890272034085,-38.79268468906233,-29.765266663737567
84,85,99.99989469615356,0.0,0,29.995882781514695,-2.6327455465098737,25.267094674020115,16.18225736985682,10.971518064139516,14.213932893007936,10.850685353538772,-17.234084525303224,30.417528603890858,-24.596593503755905
85,86,99.99508392279567,0.0,0,-12.398754856869921,-32.37361556372639,-28.95123225283188,-11.870344588041021,-14.487127273267436,37.38015185698869,35.06342721662335,-32.54421564764802,-17.3422555660972,12.275582019292102
86,87,99.99999999972812,0.0,0,5.632024390908498,-10.368914171867047,30.158585076021055,35.55825672103978,32.323486139274124,-36.44164551272157,-22.43812553586255,-27.90998401687437,-31.62952742931742,20.806177452777106
87,88,99.999967456018,0.0,0,-7.59449299497691,27.990495305824155,-23.278814705050507,11.203353231810013,-7.821553112386226,-20.54867638499146,-28.5889141414765,-11.17287722626362,4.715320475867195,29.98556635547382
88,89,99.9998643102649,0.0,0,28.499784882680558,-37.728465786824046,9.024379502048774,17.969001798904152,23.842358544487148,5.881725359353567,-9.071272014644837,-29.029319596260784,-36.53462340087262,-22.749743447544905
89,90,99.34912558600487,0.0,0,-29.99983919004346,18.745290592685535,34.47877921556561,23.348425578006477,-39.58904496272083,-7.051231151332921,9.788199070460884,20.805912834696834,-15.427527297935853,-27.259331250025454
90,91,99.99998092130377,0.0,0,24.000413173063095,8.251295838852258,-17.698043417175782,12.383521006254803,19.575211417262537,-5.299551583851226,-36.828996567841585,8.796366253010177,-37.76427778523869,10.752215439025726
91,92,99.9993624174567,0.0,0,-0.7428826868788008,-4.226446649515324,10.15479569370251,-4.212084383965454,-38.849444339081586,-11.0007777500688,-31.59139007789032,-9.374200671903651,-29.885769487321724,37.592279614542306
92,93,99.99999949380557,0.0,0,11.49668192009262,29.56636631600398,-10.957808399587627,-31.549468192224147,0.4159439706541761,12.828644111776725,-20.68396125932503,19.57430128307685,5.522465265181367,13.478508033240445
93,94,99.97692122385001,0.0,0,-23.142630780531903,26.17072853977929,-9.482313724702294,23.7257668889563,-13.513353116668483,-15.633066574767348,-34.477157921752486,23.066475236089403,-16.389348846123355,12.61678842470858
94,95,99.99982344865961,0.0,0,4.077022408382035,-10.836275204538026,-31.63375746009349,35.68608383463777,-12.650049622585257,-10.583895623841244,6.932156698544681,39.29619372992123,5.847440297024619,-35.60107085981941
95,96,99.99999993021464,0.0,0,26.884688533939396,16.56684096724274,-10.46082424302261,4.576138834732497,10.497156629985945,-15.115707043166672,29.599153711289972,-23.893171192126253,-1.225099175148621,0.2775421645495584
96,97,99.99704608022867,0.0,0,9.691039095328904,23.8974996785405,20.795953381334854,-27.77220223490185,8.079133113859164,31.57970577350892,-17.42030129856534,13.414707328776991,-8.699186767947662,11.53770400203004
