,Run No,Loss,Reg. Loss,Repeat,N2(T),N(T),TS4_N2(T),N2(S),N(S),TS4_N2(S)
48,49,0.2892199306410773,0.010976319853950086,1,20.0,-8.296661727667711,-18.311697339201068,-3.801424075904949,14.05681555416681,1.3913204267599717
49,50,0.30172139551415,0.010382298412302204,1,20.0,-7.999233363475021,-18.37779085820486,-3.6168660527676533,11.08522333125022,1.214676868115462
50,51,0.296954524854277,0.010661467314745638,1,20.0,-8.600070148482404,-18.03110211085301,-3.9036899782851195,12.075754072222416,1.3581875786308553
51,52,0.32548703835358556,0.009784271850505339,1,20.0,-8.376433501969888,-15.797806296427105,-3.843221498295711,9.434338762963222,1.2538310433760915
52,53,0.29273159723215636,0.011746729456990509,1,20.0,-8.622244118565684,-18.949451574106774,-3.9776392126484232,17.358584690740805,1.572457145881373
53,54,0.2966272295056109,0.011885440575660227,1,20.0,-8.487935667612858,-18.07282067332535,-3.9866263822310195,19.119528230246935,1.6457325005452086
54,55,0.2927610607416675,0.011579447260431582,1,20.0,-8.515969287830245,-18.06239103270726,-3.9658922812445447,17.358584690740805,1.5738462700666203
55,56,0.29599077843906024,0.010522895783828194,1,20.0,-7.741865555590074,-17.701616070503775,-4.244403135333462,12.118253219371478,1.3312367221703463
56,57,0.29230690681810434,0.011565377117237912,1,20.0,-8.789414526899858,-18.16339986270051,-3.855531775731974,17.015126793599322,1.5687897444957941
57,58,0.29623060939941787,0.012179699910321133,1,20.0,-8.980069927412874,-19.186648702267092,-3.9257781943379095,19.37704440213068,1.6086582357782309
58,59,0.2902583695149345,0.010982470744370757,1,20.0,-8.337003849998371,-17.670465678262175,-3.979406529768177,14.44069995059783,1.4672484575979894
59,60,0.2903716228847428,0.010984654833589909,1,20.0,-8.527093984498872,-18.15868722167201,-3.961673304179507,13.841083264762435,1.4193912264266428
60,61,0.29365068093215163,0.010563347762564117,1,20.0,-8.389102442407834,-17.00803856279424,-3.944604403285992,12.66858278943631,1.369758377460313
61,62,0.29071150393306755,0.01145088403338391,1,20.0,-8.563958699526221,-18.46409832127864,-3.9693805103078157,16.18608421541468,1.521782453776108
62,63,0.29301499174962964,0.010706535741032046,1,20.0,-8.146780091615781,-17.89432309372655,-4.104661418394388,12.735693160516249,1.35775668193933
63,64,0.29050671538166506,0.01135066677318645,1,20.0,-8.628755918078838,-18.09613067045702,-3.9178141863975773,15.945268385328554,1.5160314788566782
64,65,0.28836598639643013,0.0111164599759447,1,20.0,-8.575023961432818,-18.035471916184953,-3.8652099575353107,14.81902246685196,1.4040315536631813
65,66,0.2872394247327131,0.011072561786396774,1,20.0,-8.648502455983316,-18.03284740037951,-3.7724694492816244,14.635951094388016,1.3456003183482084
66,67,0.2902664317858284,0.01074372488193897,1,20.0,-8.467313486390786,-17.468344235735763,-3.880883400928113,13.301392422874901,1.3444157457042338
67,68,0.29182236414095625,0.010641628178387272,1,20.0,-8.34870212394215,-17.627049741650307,-3.9201394630151967,12.66091626547648,1.2929614762395159
68,69,0.2893949570734912,0.011173407124486657,1,20.0,-8.558742469544665,-17.97886043825534,-3.918395505551982,15.124180355365535,1.4602639782023876
69,70,0.28808862356283704,0.011070557548282725,1,20.0,-8.460913552537384,-17.50455092929642,-3.861854412357425,15.192800416243635,1.403225979261466
70,71,0.29027675177151424,0.011420431722048255,1,20.0,-8.518560739361,-18.20696281308622,-3.9363013194185905,16.36296058925408,1.4978048711696188
71,72,0.28900171626263954,0.010912901591966288,1,20.0,-8.48012529963334,-17.652998880073376,-3.894737880550732,14.066784464469695,1.3827630270705802
72,73,0.2868764148122464,0.011158496142148306,1,20.0,-8.696577525631739,-17.999019104496874,-3.809555307506044,15.099014566155107,1.34681034910006
73,74,0.2854235304408137,0.011246508841037074,1,20.0,-8.876364363448424,-18.163295817614227,-3.7246296963749774,15.428171873933746,1.2865912948510951
74,75,0.2862586026680105,0.010991927000882546,1,20.0,-8.580712870720031,-17.75210280429001,-3.8059777286632386,14.516864667576801,1.2959039340452312
75,76,0.2864850055418315,0.010873106119697173,1,20.0,-8.458628135139488,-18.278331695880098,-3.5023602262016977,13.756517691301124,1.2427989696606492
76,77,0.2849392448667276,0.011079534442137443,1,20.0,-8.871753831486284,-17.48301183664347,-3.7192523885716167,15.142214515137532,1.2609740809857715
77,78,0.2834160754500562,0.01113114173623113,1,20.0,-9.159299883395569,-17.068669085364675,-3.6781665449049505,15.684913995622892,1.1958009080986711
78,79,0.28366475817864206,0.011215699418876188,1,20.0,-8.914681787441395,-17.946933697534938,-3.5537481387105734,15.671622115219044,1.2072107743511937
