,Run No,Loss,Repeat,EDH_prefactor,EDH_Ea,Hyd_prefactor,Hyd_Ea,RWGS_prefactor,RWGS_Ea
179,180,0.15982948463463265,0,6.770342501658305,129.3518203721964,8.942682856102326,115.70008125553113,7.815858545326133,69.37589673561864
180,181,0.19355034143169667,0,6.803528745333592,126.83656763534503,8.938845641812293,115.94980831171722,7.885964599663584,70.71308916352828
181,182,0.17357548676199447,0,6.84405235312385,123.87034972876432,8.926557789908859,115.54502112002334,8.02702138195723,72.507084724735
182,183,0.16777290882628437,0,6.694910520483717,135.19589597591516,8.953151173219862,115.39596039818409,7.6293385485944345,66.18565629233589
183,184,0.15276822999975054,0,6.794880089165202,125.76389587162163,8.93076097737585,115.31102317089005,7.967404003471842,71.34158034264672
184,185,0.15467520781510818,0,6.838827547297706,123.26069211972231,8.916910340679422,115.01175025355687,8.07532445574245,72.85068354085087
185,186,0.16765101898412907,0,6.684840780381238,134.5057998188047,8.949625959887427,115.24746959912045,7.651509006848979,66.44741537282755
186,187,0.1643472740852333,0,6.830626032987212,122.95022151928367,8.921857505465614,115.3470333879385,8.056581992963292,72.85609683205718
187,188,0.19083273585517274,0,6.889290857291682,119.78845824322048,8.91612656732411,115.52871211660815,8.169435863413515,74.73056490464208
188,189,0.14751002893948129,0,6.735953299608849,130.82646442490864,8.941251111746599,115.31778022849238,7.780990720990113,68.51820275578118
189,190,0.15749031506742983,0,6.7119480268929195,133.96945084461652,8.950359557172916,115.41939727464137,7.6724991199748125,66.87591875332046
190,191,0.1546098234875276,0,6.75276673330003,129.10706214917712,8.93209310689307,114.97278808008548,7.865436092494864,69.52279285565957
191,192,0.15583268748204854,0,6.824767443534453,122.86863544494389,8.918327589062532,115.10460232945661,8.073107842019533,72.90506220540414
192,193,0.15182650123287889,0,6.796562589374069,125.64383929486206,8.926335581090129,115.1833010657528,7.972955661508353,71.39777634238321
193,194,0.16225297757271406,0,6.683799603821788,134.37177656155131,8.954918552359594,115.56943295460644,7.63615957484053,66.44599501838454
194,195,0.1511632028441803,0,6.8000705614287265,126.03846323017956,8.926412393599465,115.15117092881925,7.96553323551697,71.24951141023428
195,196,0.1645345426782841,0,6.78562836052903,127.50254022576394,8.937842215048082,115.66785607765573,7.879413652428818,70.34945855510072
196,197,0.14867167121499195,0,6.76098214010728,128.70593166832384,8.933530383931824,115.14655507947805,7.868930482478353,69.72945928051986
197,198,0.14910065418371074,0,6.732215688311216,131.82638510222023,8.940097480083956,115.2747982897138,7.744621234454009,67.99329738073794
198,199,0.15761105483921828,0,6.7090842210813975,134.00729028143252,8.949110176034285,115.43301946950479,7.662958100732716,66.80227506045303
199,200,0.14871447247963082,0,6.774692997300901,127.73470204150468,8.932029229826167,115.2457306666908,7.895456271314444,70.24890102190066
0,1,4.2160304446648915,1,7.5410038261889785,62.01286928145566,6.011590607081811,124.01291031350277,8.068080870171771,150.93128320285086
1,2,4.216026043472224,1,7.918054017498427,62.01286928145566,6.011590607081811,124.01291031350277,8.068080870171771,150.93128320285086
2,3,4.216034202204073,1,7.5410038261889785,65.11351274552844,6.011590607081811,124.01291031350277,8.068080870171771,150.93128320285086
3,4,4.210375911403067,1,7.5410038261889785,62.01286928145566,6.312170137435902,124.01291031350277,8.068080870171771,150.93128320285086
4,5,4.2193257284332715,1,7.5410038261889785,62.01286928145566,6.011590607081811,130.21355582917792,8.068080870171771,150.93128320285086
5,6,4.207694632121498,1,7.5410038261889785,62.01286928145566,6.011590607081811,124.01291031350277,8.47148491368036,150.93128320285086
6,7,4.219619743831663,1,7.5410038261889785,62.01286928145566,6.011590607081811,124.01291031350277,8.068080870171771,158.4778473629934
7,8,4.200563619799233,1,7.6666872232921275,63.046417102813244,6.111783783866509,126.07979215206115,8.202548884674632,143.38471904270833
8,9,4.153854909567736,1,7.729528921843702,63.563191013492045,6.161880372258857,127.11323307134035,8.269782891926063,135.8381548825658
9,10,4.1931662981911515,1,7.729528921843702,63.56319101349205,6.161880372258858,118.8457057171068,8.269782891926065,145.90024042942247
10,11,4.191628664156839,1,7.792370620395275,59.94577363874046,6.211976960651208,123.32394970064996,8.337016899177494,144.22322617161302
11,12,4.17286891255469,1,7.876159551797375,62.357385221908196,6.278772411841006,123.09429616303234,8.426662242179402,141.9872071612004
12,13,4.130721963481611,1,7.485144538587576,62.4722238687257,6.367833013427404,122.78809144620888,8.546189366181947,139.0058484806503
13,14,3.9480735161567773,1,7.268689799132151,62.70190116236073,6.545954216600201,122.17568201256194,8.785243614187035,133.04313111955003
14,15,3.962269067383981,1,7.771423387544749,62.701901162360734,6.145181509461412,122.17568201256194,8.785243614187033,133.04313111954997
15,16,3.922142167515371,1,7.8482299079966715,62.931578455995755,6.490291340608703,121.56327257891496,8.48642580418067,127.08041375844965
16,17,3.6399619643993897,1,8.001842948900517,63.390933043265804,6.729641707372149,120.33845371162107,8.493896249430826,115.15497903624907
17,18,3.7020043436441528,1,7.750476154694219,61.32383740055062,6.529255353802752,127.22805984014903,8.762832278436553,121.86303606748697
