,Run No,Loss,Reg. Loss,Repeat,TS12,TS16,TS47,TS49,Cl*,H*,CH3CH3*,CH3CH2*,ClCH2CH2Cl*,ClCH2CH2*,CH2CH2*
60,61,98.39028013253261,1.4641553505422489,0,-11.375468798375143,-20.7998372085647,-22.517246784975473,-18.67420356467089,-37.431624371869965,-24.169060429507915,-4.1278649717215465,31.965663757087313,25.55868942632049,0.4476000739356589,36.70063865540817
61,62,97.87116071028395,0.9449472919739504,0,-27.896601404595035,-1.2985226361236935,-2.0216544654318147,-14.57675594654324,8.718796732263119,-18.679822674870582,-12.92304271833184,-5.5525893217271305,-32.79063422747977,26.775380485743405,27.31952574485698
62,63,82.20132780597673,1.3157882132541485,0,18.270691407260085,-16.537012364503923,-33.69774246793167,29.041512689976045,5.720515396149786,32.99464257169028,29.922672474550673,-19.004185965432274,7.948261056098405,23.874919093311597,13.861714415283295
63,64,87.68049855618966,1.408521167989361,0,34.67604950332089,-30.85155949470235,-26.269276515382003,-29.626828842163984,19.89650377693504,21.771160103758156,-0.9061862645690955,-34.62385179493989,16.312901088192824,-4.2315441355123,11.04168744801818
64,65,96.3203181482547,1.331036055419676,0,-29.84062541273799,28.50099251268543,-38.04119790007213,-28.89058081379335,-5.196559172624973,20.826340441080546,0.36547592179968724,-15.939678975773539,-12.560217795944393,-6.176987137974752,31.00207870607271
65,66,97.73521796432286,0.8240741305790635,0,22.430341215045768,-8.83709022544162,-8.000445218549395,21.315318262604794,0.9977500685802809,-7.546461471101233,-22.538606459908,2.9911176154561403,-22.992662809597046,24.77540514160107,-28.44289881246624
66,67,42.84970288342616,1.4775967621742283,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
67,68,42.849702883338765,1.4775967620868369,0,-19.22602825751117,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
68,69,42.84970288354412,1.4775967622922024,0,-19.226028267511172,25.95431103261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
69,70,42.849702883289176,1.4775967620372485,0,-19.226028267511172,25.95431102261437,-30.135579650585868,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
70,71,42.84970288330327,1.4775967620513524,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626125173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
71,72,42.8497028835753,1.4775967623233737,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093197986506,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
72,73,42.84970288359937,1.4775967623474497,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709786706605,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
73,74,42.84970288339718,1.4775967621452453,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378265866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896560678002
74,75,42.84970288334674,1.477596762094811,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.471932460602908,-2.1567922587086485,20.894202836396786,22.431896560678002
75,76,42.84970288341635,1.4775967621644246,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922487086486,20.894202836396786,22.431896560678002
76,77,42.849702883521125,1.477596762269202,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202846396787,22.431896560678002
77,78,42.84970288352811,1.4775967622761919,0,-19.226028267511172,25.95431102261437,-30.13557966058587,-27.032626135173334,32.812093187986505,38.108709776706604,-6.376378275866648,-17.47193247060291,-2.1567922587086485,20.894202836396786,22.431896570678003
