t(s),CH3CH3*,CH2CH2*,ClCH2CH2Cl*,CH3CH2*,ClCH2CH2*,H*,Cl*,TS12,TS16,TS47,TS49,PtCu111(*)
5.05000000e-08,-1.29531703e-17,1.75493564e-12,1.90398270e-03,2.96243770e-16,5.15098993e-15,-1.92973908e-03,1.27422142e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.57562464e-05
5.50000000e-08,7.52933226e-18,1.65240974e-12,1.76496508e-03,3.02545702e-16,4.77487340e-15,-1.78909009e-03,1.31685249e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.41248701e-05
5.95000000e-08,-2.90205572e-18,1.55500229e-12,1.63674167e-03,3.08222351e-16,4.42796202e-15,-1.65932685e-03,1.35689258e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.25850488e-05
6.40000000e-08,1.42434100e-17,1.46259824e-12,1.51838392e-03,3.13334417e-16,4.10775251e-15,-1.53951793e-03,1.39447630e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.11338624e-05
6.85000000e-08,2.11357406e-18,1.37508057e-12,1.40905587e-03,3.17936154e-16,3.81197024e-15,-1.42882396e-03,1.42973449e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.97679388e-05
7.30000000e-08,-2.69375221e-18,1.29229285e-12,1.30800303e-03,3.22076264e-16,3.53857784e-15,-1.32648693e-03,1.46279382e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.84837524e-05
7.75000000e-08,2.52387488e-18,1.21407079e-12,1.21454312e-03,3.25798385e-16,3.28575658e-15,-1.23182082e-03,1.49377644e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.72775568e-05
8.20000000e-08,-1.03974179e-18,1.14024557e-12,1.12805783e-03,3.29141647e-16,3.05185949e-15,-1.14420354e-03,1.52279981e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.61455606e-05
8.65000000e-08,4.36822719e-19,1.07063724e-12,1.04798579e-03,3.32141204e-16,2.83525231e-15,-1.06306993e-03,1.54997652e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.50839778e-05
9.10000000e-08,-4.73003104e-19,1.00506599e-12,9.73816455e-04,3.34828629e-16,2.63374522e-15,-9.87905673e-04,1.57541423e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.40890589e-05
9.55000000e-08,-2.54840282e-18,9.43352256e-13,9.05084694e-04,3.37232322e-16,2.44270211e-15,-9.18241999e-04,1.59921569e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.31571444e-05
1.00000000e-07,-1.07543262e-17,8.85326652e-13,8.41366140e-04,3.39377850e-16,2.24762431e-15,-8.53650977e-04,1.62147879e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.22846744e-05
1.45000000e-07,3.23736512e-14,3.75447498e-13,4.08695187e-04,3.50750523e-16,9.46967604e-14,-4.14839477e-04,1.77674140e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.14411176e-06
1.90000000e-07,8.08224897e-19,2.54378857e-13,2.00291048e-04,3.51766282e-16,5.42645233e-16,-2.03343829e-04,1.85578700e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.05259581e-06
2.35000000e-07,-1.00875014e-19,1.45926045e-13,9.85783372e-05,3.48258397e-16,2.66102410e-16,-1.00090886e-04,1.89415053e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.51235915e-06
2.80000000e-07,3.07569925e-19,9.17251203e-14,4.86193058e-05,3.42715164e-16,1.33876660e-16,-4.93678061e-05,1.91258780e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.48308981e-07
3.25000000e-07,-1.35944372e-19,6.47768204e-14,2.40038893e-05,3.36280533e-16,6.36957277e-17,-2.43741140e-05,1.92110698e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.70032571e-07
3.70000000e-07,-1.65219177e-18,5.14194122e-14,1.18569637e-05,3.29503613e-16,1.76984822e-17,-1.20400792e-05,1.92470688e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.82922895e-07
4.15000000e-07,-2.95492557e-19,4.47798288e-14,5.85833283e-06,3.22653199e-16,1.58336274e-17,-5.94893850e-06,1.92587086e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.04130369e-08
4.60000000e-07,1.13191804e-21,4.14988893e-14,2.89484201e-06,3.15861142e-16,7.83114772e-18,-2.93971888e-06,1.92583032e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.46842542e-08
