run_no,time(s),Temperature(K),Pressure(atm),y_C2H6,y_C2H4,y_CH4,y_H2,y_CO2,y_CO,y_H2O
run_2,7.0,861.0,1.0,0.0003152602545097454,0.00016853536895770395,3.2408753065101345e-05,0.00012454406492188474,0.0004722130724967314,2.7786927503268502e-05,2.7786927503268502e-05
run_2,8.0,861.0,1.0,0.0002970127994308716,0.00018354940822545303,3.887558468735077e-05,0.00013005607252324956,0.00046594445664147185,3.405554335852809e-05,3.405554335852809e-05
run_2,9.0,861.0,1.0,0.0002805847984538036,0.00019684980056120898,4.513080196997491e-05,0.00013399099120148922,0.0004597065916252677,4.029340837473224e-05,4.029340837473224e-05
run_2,10.0,861.0,1.0,0.0002658025681251352,0.0002086539733789727,5.108691699178429e-05,0.00013673881187708305,0.0004536282969940025,4.637170300599744e-05,4.637170300599744e-05
run_3,0.0,873.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_3,1.0,873.0,1.0,0.0004596134549109958,3.937107497052684e-05,2.0309402369547808e-06,3.7016311761184156e-05,0.0004986607069091347,1.3392930908652935e-06,1.3392930908652935e-06
run_3,2.0,873.0,1.0,0.00042158954033987104,7.520575457955724e-05,6.4094101611434746e-06,6.753294969174776e-05,0.0004955319001927622,4.468099807237731e-06,4.468099807237731e-06
run_3,3.0,873.0,1.0,0.00038649106919667496,0.00010715778908277292,1.2702283441104246e-05,9.156846481301578e-05,0.000490761817450795,9.238182549205018e-06,9.238182549205018e-06
run_3,4.0,873.0,1.0,0.00035468172637656656,0.00013522329050874674,2.0189966229373366e-05,0.0001098335705311223,0.0004847052631370622,1.5294736862937773e-05,1.5294736862937773e-05
run_3,5.0,873.0,1.0,0.0003261830088543425,0.00015984122935000712,2.7951523591300708e-05,0.0001238642547341322,0.0004779987871797754,2.2001212820224583e-05,2.2001212820224583e-05
run_3,6.0,873.0,1.0,0.00030086432348806785,0.00018107237454563133,3.612660393260153e-05,0.0001336066291870302,0.0004705975566076996,2.940244339230038e-05,2.940244339230038e-05
run_3,7.0,873.0,1.0,0.0002784570523993512,0.0001994246928329004,4.4236509535496764e-05,0.00014025247599831625,0.0004629460379331642,3.7053962066835755e-05,3.7053962066835755e-05
run_3,8.0,873.0,1.0,0.00025874162743007225,0.0002153074821561283,5.190178082759886e-05,0.0001447515797623836,0.0004553949880200547,4.460501197994531e-05,4.460501197994531e-05
run_3,9.0,873.0,1.0,0.00024135746725600644,0.0002290373246312208,5.9210416225545496e-05,0.00014744013896245153,0.0004480080224440035,5.199197755599654e-05,5.199197755599654e-05
run_3,10.0,873.0,1.0,0.0002259979006400329,0.00024095049771907735,6.610320328177943e-05,0.00014883085921878932,0.0004409319631406016,5.906803685939835e-05,5.906803685939835e-05
