,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
CH2C*+PtCu111(*)=TS42=CHC*+H*,-0.0009259551020720952,0.002955241060035875,0.00017642500010462542,-7.755144568056083e-05,0.02901410734793316,0.006228453372064201,-0.0009259551020720952,0.02901410734793316
ClCHC*+PtCu111(*)=TS43=ClCC*+H*,0.0,0.02598519587856978,0.0009997416198876598,0.00013571511876326424,-0.028870556611613633,-0.00034998079887858596,-0.028870556611613633,0.02598519587856978
CHCH*+PtCu111(*)=TS44=CHC*+H*,-0.0012963371997471943,0.013403056011433549,0.00011761669042235902,0.00017449080607463154,-0.03964317376016651,-0.005448869490396633,-0.03964317376016651,0.013403056011433549
CHCCl*+PtCu111(*)=TS45=ClCC*+H*,0.001203741533212767,0.019507560033813293,-0.0012349750717902041,1.938791471350988e-05,0.010988025822226247,0.006096748046435122,-0.0012349750717902041,0.019507560033813293
CH3CH2Cl*+PtCu111(*)=TS46=CH3CH2*+Cl*,-0.00101855062649087,0.01568664840772753,0.00041165830989151725,3.877575836919353e-05,0.029732277286276847,0.008970161827154844,-0.00101855062649087,0.029732277286276847
ClCH2CH2Cl*+PtCu111(*)=TS47=ClCH2CH2*+Cl*,0.3444493555469274,0.7414246987360115,1.0985381175706301,1.4221734526307832,1.7904579963940614,1.0794087241756827,0.3444493555469274,1.7904579963940614
CH3CHCl*+PtCu111(*)=TS48=CH3CH*+Cl*,0.0006481685288157709,0.02064189285082673,5.880838074009263e-05,3.877575836919353e-05,0.03590853628322023,0.011459236360394403,3.877575836919353e-05,0.03590853628322023
ClCH2CH2*+PtCu111(*)=TS49=CH2CH2*+Cl*,0.0006481685288157709,-0.0006567203382026101,0.0002352333097868918,-0.00017449080607463154,0.02413055065869398,0.00483654827060388,-0.0006567203382026101,0.02413055065869398
ClCH2CHCl*+PtCu111(*)=TS50=CH2CHCl*+Cl*,-0.0011111461509096447,0.021074730372173202,-0.007174619110573467,-0.009752102128455866,0.01048530598426862,0.0027044337933005685,-0.009752102128455866,0.021074730372173202
ClCH2CHCl*+PtCu111(*)=TS51=ClCH2CH*+Cl*,-3.7611033224572705,0.01446276233606755,0.00870362940662847,0.008142901085880625,-0.03447231606791222,-0.7528532691393213,-3.7611033224572705,0.01446276233606755
CH2CHCl*+PtCu111(*)=TS52=CH2CH*+Cl*,0.000925955031014269,0.002955241060035875,0.003940157530347937,0.00370308204641602,-0.03820682414855694,-0.005336477696148567,-0.03820682414855694,0.003940157530347937
ClCHCHCl*+PtCu111(*)=TS53=ClCHCH*+Cl*,0.001481528035411265,0.011746331778906662,-0.0009409333102053935,0.00042653312888765016,-0.0303787223075174,-0.0035330525349034437,-0.0303787223075174,0.011746331778906662
