,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
CH2CHCl*+PtCu111(*)=TS26=ClCHCH*+H*,-0.0003702986593041505,-0.0012683734436806304,0.0002940475355385752,0.0005719052633134905,0.015259631677492065,0.00289738247467187,-0.0012683734436806304,0.015259631677492065
ClCHCHCl*+PtCu111(*)=TS27=ClCHCCl*+H*,0.0006018522484309305,-0.0027974706203791966,0.0003528264425254276,-2.910700398106055e-05,0.01626607292705179,0.002878834798729578,-0.0027974706203791966,0.01626607292705179
CH3CH*+PtCu111(*)=TS28=CH2CH*+H*,-0.016666271919785897,-0.02239333518092763,-0.049778804776761804,-0.08309228223330137,-0.02833023610087105,-0.04005218604232955,-0.08309228223330137,-0.016666271919785897
CH3CH*+PtCu111(*)=TS29=CH3C*+H*,-0.0009721647963693354,-0.012983939338030126,-0.0002058232744052547,0.0001938408808080717,-0.004345518451402373,-0.0036627209958798035,-0.012983939338030126,0.0001938408808080717
ClCH2CH*+PtCu111(*)=TS30=ClCHCH*+H*,-0.0014814819176189745,-0.00870070622929555,-0.0008232636949327102,3.872434755931918e-05,-0.022190135758096807,-0.006631372650476944,-0.022190135758096807,3.872434755931918e-05
ClCH2CH*+PtCu111(*)=TS31=ClCH2C*+H*,9.263252524076759e-05,0.00026127836227824363,-0.0002353010070480783,-0.0002326427759606913,-1.921017782006984e-06,-2.3190782654353073e-05,-0.0002353010070480783,0.00026127836227824363
CH3CCl*+PtCu111(*)=TS32=CH2CCl*+H*,-0.00129630479294104,-0.004007123358347639,-0.0014701524809293829,-0.00033931777554109516,0.016014535994117323,0.001780327517271633,-0.004007123358347639,0.016014535994117323
ClCH2CCl*+PtCu111(*)=TS33=ClCHCCl*+H*,4.630702129533751e-05,-0.0056405517328800185,0.0002352568319453547,-0.00024235996206616798,-0.019856521267289817,-0.005091573821799063,-0.019856521267289817,0.0002352568319453547
CH3C*+PtCu111(*)=TS34=CH2C*+H*,-0.00037036350844181986,-0.007902213735475123,-0.0016759256641731553,-0.00034900781999051546,-0.012209634349753747,-0.004501429015566873,-0.012209634349753747,-0.00034900781999051546
ClCH2C*+PtCu111(*)=TS35=ClCHC*+H*,-9.259089502842164e-09,0.002209807408738407,-0.0009702815999277268,0.0003198426197864546,0.0036245964788647334,0.001036791129674473,-0.0009702815999277268,0.0036245964788647334
CH2CH*+PtCu111(*)=TS36=CHCH*+H*,0.00023142862697227395,-0.002380363626886143,-0.0009114202588119497,0.00031016424300476484,0.017020148347195972,0.0028539914662949837,-0.002380363626886143,0.017020148347195972
CH2CH*+PtCu111(*)=TS37=CH2C*+H*,0.00013882847300874764,-0.0019620349057237144,-0.00020577325429804564,-1.9431499705162107e-05,0.03134654856776003,0.0058596274762083705,-0.0019620349057237144,0.03134654856776003
ClCHCH*+PtCu111(*)=TS38=CHCCl*+H*,-0.0006481454166244796,0.008194576272718189,-0.0009997329056654198,8.720856792987638e-05,0.029371107780405203,0.007201002859752674,-0.0009997329056654198,0.029371107780405203
ClCHCH*+PtCu111(*)=TS39=ClCHC*+H*,-0.0004167076016205291,-0.0006562563575261224,-0.0007645319388424176,0.0006203730048195388,-0.01734348299779545,-0.003712121178192996,-0.01734348299779545,0.0006203730048195388
CH2CCl*+PtCu111(*)=TS40=CHCCl*+H*,-0.0007407084631828264,-0.0025071332593725373,-0.0012348955424008416,-0.0001551601537693178,-0.011490871959972351,-0.0032257538757395746,-0.011490871959972351,-0.0001551601537693178
ClCHCCl*+PtCu111(*)=TS41=ClCCCl*+H*,-0.00023147488688732225,-0.00040264172288898394,-0.0005880539073007285,1.938881300295358e-05,-0.003374762544550299,-0.000915508849724876,-0.003374762544550299,1.938881300295358e-05
CH2C*+PtCu111(*)=TS42=CHC*+H*,-0.0010184950009102375,-0.004230794600236283,-0.0007644229712322806,-0.0001066264968052339,0.003520132638698272,-0.0005200412860971526,-0.004230794600236283,0.003520132638698272
