,Run No,Loss,Repeat,a,b
43,44,2.8387257825766667,1,1.756108449528437,99.94078616942932
44,45,3.33733777496566,1,1.5967068809634366,100.01435318169979
45,46,2.4269723245189114,1,1.7035266334043975,99.86721915715884
46,47,2.639094275590032,1,1.5843894870288677,99.84882740409125
47,48,2.41970899524483,1,1.5704159729014169,99.97756967556455
48,49,3.247359053779644,1,1.4110144043364166,100.05113668783503
49,50,1.7385100651426992,1,1.5178341567773774,99.90400266329408
50,51,2.0442531483300694,1,1.3986970104018477,99.88561091022643
51,52,2.2055918063118107,1,1.3847234962743968,100.01435318169979
52,53,1.0731414215709647,1,1.3321416801503574,99.94078616942932
53,54,1.4958384645781326,1,1.2130045337748276,99.92239441636173
54,55,3.234402280620581,1,1.465252340653338,99.8304356510236
55,56,1.4111698956952072,1,1.4048557073691321,99.96837379903074
56,57,1.1582949329363332,1,1.219163230742112,100.005157305166
57,58,0.43597594465751166,1,1.1464492035233373,99.97756967556457
58,59,0.43448668701392845,1,1.0172459516004402,99.98216761383148
59,60,1.8380220004188028,1,1.1302244010086855,99.9177964780948
60,61,0.6402123694815316,1,1.1969285233087554,99.9833170983982
61,62,0.4246653715188137,1,0.882032794758838,100.02469854280037
62,63,1.1472590583543616,1,0.6569783520630783,100.06665472948589
63,64,0.8873738021052779,1,0.7023502230505227,100.02354905823364
64,65,0.22741817626225683,1,1.0732839482441974,99.99337508835706
65,66,0.7933504840725669,1,0.9380707914025952,100.03590601732594
